rounded_lat,rounded_long,rounded_date,astronomical_twilight_begin,nautical_twilight_begin,civil_twilight_begin,sunrise,solar_noon,sunset,civil_twilight_end,nautical_twilight_end,astronomical_twilight_end
30,-120,2020-11-08,46691,48386,50103,51526,71028,4130,5553,7270,8965
30,-80,2020-11-08,37087,38781,40498,41920,61427,80934,82357,84074,85768
50,-120,2020-10-25,46264,48506,50774,52671,71039,3007,4903,7171,9414
30,-100,2020-10-25,41335,43007,44692,46082,66239,86396,1386,3071,4743
30,-80,2020-10-18,36272,37938,39611,40988,61501,82014,83391,85064,329
50,-120,2020-10-11,44975,47231,49473,51318,71191,4664,6510,8752,11007
40,-90,2020-09-27,37373,39284,41171,42707,64244,85781,916,2804,4715
40,-70,2020-09-20,32121,34059,35961,37501,59591,81680,83220,85122,660
40,-90,2020-09-13,36458,38433,40358,41907,64539,772,2321,4245,6220
40,-80,2020-09-13,34056,36032,37956,39505,62140,84774,86324,1848,3823
40,-70,2020-09-13,31654,33630,35554,37104,59740,82377,83926,85851,1426
40,-70,2020-09-06,31165,33189,35144,36708,59887,83066,84631,186,2210
40,-100,2020-08-23,37314,39466,41506,43119,67346,5173,6785,8826,10977
30,-80,2020-08-16,33775,35620,37405,38832,62648,65,1491,3276,5121
40,-100,2020-08-16,36745,38979,41074,42718,67447,5777,7421,9516,11750
40,-70,2020-08-16,29538,31773,33869,35513,60249,84984,228,2324,4559
40,-100,2020-08-02,35552,37982,40202,41919,67573,6827,8544,10764,13194
50,-120,2020-07-19,32956,38156,41540,43888,72382,14477,16825,20209,25409
40,-120,2020-07-19,39181,41829,44181,45972,72382,12393,14184,16536,19184
40,-80,2020-07-05,28605,31445,33905,35756,62684,3212,5063,7522,10363
40,-70,2020-06-28,25875,28776,31268,33137,60205,874,2742,5235,8136
30,-120,2020-06-07,40961,43081,45067,46621,71942,10862,12417,14403,16523
40,-80,2020-06-07,28190,31048,33517,35372,62340,2908,4764,7233,10091
40,-80,2020-05-24,28888,31562,33929,35728,62214,2301,4100,6467,9141
40,-90,2020-05-03,33102,35450,37618,39304,64608,3512,5198,7367,9714
40,-100,2020-05-03,35499,37848,40016,41702,67008,5914,7600,9769,12117
40,-110,2020-05-03,37897,40245,42414,44100,69408,8315,10002,12171,14519
40,-90,2020-04-26,33828,36079,38185,39835,64661,3087,4737,6843,9094
40,-80,2020-04-26,31431,33682,35787,37437,62261,685,2335,4440,6691
40,-90,2020-04-19,34584,36750,38800,40417,64738,2659,4276,6326,8492
40,-120,2020-04-19,41775,43942,45992,47610,71937,9864,11482,13532,15699
30,-120,2020-04-19,43418,45228,46988,48397,71937,9076,10486,12245,14055
50,-90,2020-04-19,31814,34748,37346,39331,64738,3745,5730,8328,11262
40,-70,2020-04-19,29790,31955,34005,35622,59939,84255,85872,1522,3687
50,-120,2020-04-19,38999,41936,44535,46521,71937,10953,12938,15538,18474
30,-110,2020-04-19,41020,42830,44589,45999,69537,6675,8085,9844,11654
30,-80,2020-04-05,34924,36661,38367,39745,62549,85354,331,2037,3775
40,-90,2020-04-05,36135,38166,40126,41693,64949,1805,3372,5332,7363
40,-80,2020-03-29,34509,36490,38418,39968,62673,85377,527,2455,4436
40,-70,2020-03-22,32867,34809,36713,38252,60400,82547,84087,85990,1532
50,0,2020-03-22,14802,17192,19488,21327,43603,65880,67719,70014,72405
30,-110,2020-03-22,43224,44914,46587,47947,69998,5648,7008,8682,10372
40,-120,2020-03-15,45582,47495,49384,50919,72520,7722,9257,11146,13059
40,-80,2020-03-08,36686,38580,40461,41998,63035,84072,85609,1090,2984
50,0,2020-03-08,16781,19065,21311,23143,43838,64534,66366,68612,70896
40,-110,2020-03-08,43878,45772,47654,49190,70234,4877,6414,8295,10189
40,-120,2020-03-08,46276,48170,50051,51588,72633,7279,8816,10697,12591
50,10,2020-03-01,15282,17539,19781,21625,41533,61442,63286,65528,67784
20,80,2020-03-01,85570,704,2241,3500,24736,45971,47230,48768,50302
40,-90,2020-02-23,40327,42207,44096,45654,65602,85549,707,2596,4476
30,-80,2020-02-23,37956,39621,41294,42669,63202,83734,85110,382,2047
50,-120,2020-02-16,48021,50263,52529,54423,72843,4863,6756,9023,11265
30,-80,2020-02-16,38325,39997,41681,43070,63243,83417,84806,90,1761
30,-100,2020-02-16,43122,44794,46478,47867,68043,1820,3208,4892,6564
40,-70,2020-02-16,36063,37947,39849,41425,60843,80262,81838,83740,85624
30,-120,2020-02-09,48229,49910,51609,53013,72850,6287,7691,9390,11071
30,-80,2020-02-09,38633,40315,42014,43419,63250,83082,84486,86185,1467
40,-90,2020-02-02,41699,43606,45548,47171,65619,84067,85690,1232,3139
40,-110,2020-01-26,46790,48713,50679,52328,70349,1969,3619,5584,7507
40,-120,2020-01-19,49392,51331,53320,54996,72639,3883,5558,7548,9487
40,-110,2020-01-12,47099,49054,51066,52765,70093,1021,2721,4732,6687
40,-100,2020-01-12,44700,46655,48666,50366,67693,85020,319,2331,4286
40,-80,2020-01-05,39911,41879,43908,45627,62716,79804,81524,83553,85521
50,-110,2020-01-05,47980,50330,52797,54948,69918,84889,639,3106,5457
40,-110,2020-01-05,47112,49079,51108,52827,69918,609,2328,4357,6325
40,-70,2019-12-29,37430,39407,41448,43180,60118,77057,78789,80830,82806
50,-110,2019-12-29,47955,50318,52805,54980,69722,84463,238,2725,5088
40,-120,2019-12-22,49270,51250,53295,55031,71915,2399,4135,6181,8160
40,-70,2019-12-22,37266,39246,41291,43028,59911,76794,78531,80576,82556
40,-80,2019-12-22,39667,41646,43692,45428,62312,79195,80932,82977,84957
40,-70,2019-12-15,37028,39005,41047,42780,59704,76629,78362,80404,82381
40,-120,2019-12-15,49033,51011,53053,54786,71708,2231,3964,6006,7984
40,-100,2019-12-08,43933,45902,47934,49656,66713,83769,85491,1123,3092
50,-90,2019-12-01,41985,44320,46764,48885,64140,79395,81517,83960,86296
50,0,2019-12-01,20368,22703,25145,27266,42535,57804,59924,62366,64701
40,-110,2019-12-01,45988,47946,49961,51665,68941,86218,1522,3537,5494
50,-120,2019-12-01,49190,51526,53970,56092,71342,192,2314,4758,7094
30,-90,2019-11-24,40131,41856,43611,45073,64000,82927,84388,86144,1469
30,-120,2019-11-24,47334,49060,50815,52277,71201,3726,5187,6943,8668
30,-100,2019-11-24,42532,44257,46013,47474,66400,85326,388,2143,3869
30,-90,2019-11-17,39833,41544,43281,44726,63897,83068,84512,86250,1561
40,-70,2019-11-10,35187,37097,39043,40672,59034,77396,79025,80971,82881
30,-100,2019-11-10,41940,43637,45357,46783,66234,85686,712,2432,4129
40,-70,2019-10-27,34348,36233,38139,39719,59032,78345,79926,81831,83717
30,-80,2019-10-27,36581,38254,39941,41333,61432,81531,82923,84610,86284
30,-110,2019-10-27,43784,45457,47145,48537,68632,2326,3719,5406,7080
30,-80,2019-10-20,36318,37984,39659,41038,61488,81937,83316,84991,257
40,-80,2019-10-20,36329,38210,40101,41663,61488,81313,82875,84766,246
40,-90,2019-10-20,38731,40611,42502,44064,63887,83710,85272,763,2644
30,-80,2019-10-13,36064,37727,39394,40762,61575,82387,83755,85422,685
40,-80,2019-10-13,35907,37789,39672,41220,61575,81930,83477,85360,842
50,-90,2019-10-06,37215,39492,41736,43570,64087,84603,38,2282,4559
40,-120,2019-09-29,44656,46563,48448,49984,71417,6450,7986,9872,11778
30,-110,2019-09-22,42515,44200,45871,47230,69162,4694,6053,7724,9408
60,-150,2019-09-22,47917,51192,54198,56568,78759,14551,16921,19927,23202
30,-80,2019-09-22,35312,36997,38668,40027,61964,83900,85259,530,2215
40,-70,2019-09-22,32202,34134,36033,37572,59564,81557,83095,84994,527
40,-100,2019-09-22,39407,41339,43238,44776,66762,2348,3887,5785,7718
30,-80,2019-09-15,35050,36753,38436,39800,62113,84426,85791,1073,2777
40,-80,2019-09-15,34141,36109,38028,39575,62113,84651,86198,1718,3686
40,-90,2019-09-08,36058,38071,40020,41582,64661,1339,2901,4850,6863
40,-80,2019-09-08,33656,35670,37618,39180,62261,85342,504,2453,4467
40,-100,2019-09-01,37950,40020,42006,43588,67200,4412,5994,7980,10050
40,-70,2019-09-01,30743,32814,34801,36383,60001,83620,85202,788,2859
40,-80,2019-09-01,33145,35216,37202,38784,62401,86017,1199,3186,5256
30,-120,2019-08-04,42733,44664,46512,47980,72366,10352,11820,13669,15599
50,-120,2019-07-28,34861,39131,42284,44534,72391,13848,16098,19251,23521
40,-80,2019-07-28,30253,32773,35049,36797,62791,2385,4133,6409,8929
40,-100,2019-07-28,35058,37577,39852,41600,67591,7182,8930,11205,13724
30,-100,2019-07-28,37567,39548,41433,42924,67591,5858,7349,9234,11215
30,-120,2019-07-28,42370,44350,46235,47726,72391,10655,12146,14031,16012
50,-100,2019-07-21,28459,33492,36842,39176,67586,9596,11929,15280,20313
60,10,2019-07-14,,,3714,8305,41151,73997,78589,,
40,-90,2019-07-14,31537,34273,36674,38494,65153,5413,7232,9634,12369
40,-80,2019-07-07,28675,31502,33955,35802,62696,3190,5037,7490,10317
50,-90,2019-07-07,,29650,33381,35861,65096,7931,10411,14142,
40,-90,2019-06-30,30726,33618,36106,37972,65021,5670,7536,10023,12916
40,-80,2019-06-30,28324,31217,33705,35571,62620,3270,5136,7624,10516
40,-80,2019-06-23,28110,31034,33539,35414,62533,3253,5128,7632,10556
40,-80,2019-06-09,28155,31025,33500,35359,62355,2950,4810,7285,10154
30,-90,2019-06-09,33748,35873,37861,39418,64755,3693,5249,7238,9362
40,-80,2019-06-02,28412,31204,33637,35473,62279,2686,4522,6955,9747
40,-90,2019-06-02,30811,33603,36036,37872,64680,5087,6923,9356,12148
40,-80,2019-05-19,29313,31897,34210,35980,62188,1997,3766,6080,8663
30,80,2019-05-12,80345,82301,84169,85648,23782,48315,49794,51662,53618
30,-120,2019-05-12,41913,43874,45744,47225,71781,9937,11418,13288,15249
40,-70,2019-05-05,28183,30548,32728,34420,59802,85184,476,2655,5020
50,-120,2019-04-28,37525,40761,43512,45573,71849,11725,13786,16537,19773
30,-80,2019-04-21,33733,35549,37314,38727,62323,85919,932,2696,4513
40,-70,2019-04-14,30425,32530,34538,36132,60018,83903,85497,1106,3210
30,-80,2019-04-07,34825,36568,38278,39657,62528,85399,379,2089,3832
40,-100,2019-03-24,39926,41874,43782,45323,67576,3428,4970,6877,8826
