x,y
83.27777778,365
83,372.6666667
83,378.6666667
83,384.6666667
83,390.6666667
83.3,396.2
83.94444444,671.4444444
84.3,678.4
84.16666667,689.1111111
84,697
84,703
84,709
85.16666667,348.7777778
85.05555556,403.7777778
85,411.1666667
85.3,416.8
85.16666667,717.2222222
86.25,304.25
86.66666667,317.3333333
86.25,329.75
87.3,339.2
87.75,357.25
86.94444444,422.7777778
87.22727273,655
88.22727273,726
87.64285714,734.7857143
89.4,297.3
89.5,364.875
89,372.1666667
89,378.1666667
89,384.1666667
89,390.1666667
89,396.1666667
89.22727273,665
89.22727273,683
90,674.3333333
90,694.4
90,702.3333333
90,708.3333333
90,714.3333333
90.5,739.375
91.2,311.2
91.2,323.2
91.38888889,347.6666667
91.5,402
91,409.1666667
91,415.1666667
92.05555556,287.8888889
91.92857143,332
93.5,339.375
93.5,357.2222222
93,419.5
93.22727273,649.1818182
93.3,657.2
94,274.6
94.5,281.75
94.25,303.625
94.66666667,316
94.1,720.4
94,728.3333333
94.3,734
95.5,295.5
95.5,363.75
95,371.5
95,377.5
95,383.5
95,389.5
95.3,395
95.2,664.8
95,672.8333333
95.22727273,682.3636364
95,690.8333333
96.1,699.6
96,707.5
96.3,713
96.2,742.05
97,325.2
97.16666667,348.6666667
97,403.2
97.35714286,411.5714286
96.75,415.625
98.25,286.875
98,641.8
99,268.8
99,310.8
99,334.8
99.5,341.75
99.22727273,653
100.25,278.625
100.2142857,302.1428571
100.1666667,717.3333333
100,725.1666667
100,731.1666667
100.3,736.6
101.2142857,294.8571429
101,356.4
101,364.3333333
101,370.3333333
101,376.3333333
101,382.3333333
101,388.3333333
101,394.3333333
100.9444444,662.4444444
101,670
101,676
101,682
101,688
101,694
102,319.2
102,702.8
102.5,709.75
102.3333333,745.2083333
103.5,347.4444444
103.2272727,402.3636364
102.6428571,410.5
103,635.6
104.1,263.4
104.2777778,286.8888889
104.1,329.4
104,646.4
105.2272727,274.3636364
105.4,310
105.5,339.6666667
106.375,301.25
106.2272727,656.3636364
106.2272727,716.3636364
106,724.8333333
106,730.8333333
106,736.8333333
107.5,294.2857143
107.4,355.4
107,363.6666667
107,369.6666667
107,375.6666667
107,381.6666667
107,387.6666667
107,393.6666667
107.1,667.4
107,675.3333333
107,681.3333333
107,687.3333333
107,693.3333333
107,699.3333333
108.2777778,256.7777778
108.6428571,281.4285714
108.375,317.875
108.3,324.8
108.2272727,630.1818182
108.5,707.4444444
107.9545455,745.0909091
109,399.625
108.6428571,406.5714286
109.2,640.9
109.9444444,266
109.9444444,332
110.3571429,751.1428571
111.5,287.6666667
111.2272727,342
111.3,350
111.2777778,649.4444444
112.4,250.5
112.4,274.5
112.2272727,305
112.3,313
112.3888889,622.3333333
112.2,658.8
112.2,718.8
112,726.8333333
112,732.8333333
112.3,738.4
113.3571429,296
113.2272727,358
113,366.5
113,372.5
113,378.5
113,384.5
113,390.5
113.2,668.6
113,676.6666667
113,682.6666667
113,688.6666667
113,694.6666667
113,700.6666667
114.2272727,321
114.3,631.4
114.2,708.5
114.5,745
115.2272727,260.1818182
114.6,397.6
115.5,616.2222222
115.5,640.8888889
116.2272727,331.3636364
116.5,752.7222222
117.2272727,282.7272727
117.3,290.8
117.2272727,342.7272727
117.3,350.8
117.5,649.5
118.2272727,246.0909091
118.5,253.75
118.2272727,270.0909091
118,276.5
118.2272727,306.0909091
118.3,314.2
118.375,609
